DAY,SAMAN,ARPA,SLAJ,YEM,SU
1,1.623454137,2.272835792,2.516353913,6.818507377,1.29876331
2,1.543873052,2.161422273,2.393003231,6.484266819,1.235098442
3,1.378363016,2.297271694,2.909877479,6.12605785,1.22521157
4,1.378363016,2.297271694,2.909877479,6.12605785,1.22521157
5,1.378363016,2.297271694,2.909877479,6.12605785,1.22521157
6,1.364153088,2.27358848,2.879878742,6.062902615,1.212580523
7,1.31108085,2.18513475,2.76783735,5.827026,1.1654052
8,1.456439814,2.42739969,3.074706274,6.473065839,1.294613168
9,1.392572944,2.320954907,2.939876216,6.189213086,1.237842617
10,1.392572944,2.320954907,2.939876216,6.189213086,1.237842617
11,1.435202728,2.392004547,3.029872426,6.378678792,1.275735758
12,1.435202728,2.392004547,3.029872426,6.378678792,1.275735758
13,1.49204244,2.486737401,3.149867374,6.631299735,1.326259947
14,1.548882152,2.581470254,3.269862322,6.883920677,1.376784135
15,1.624600184,2.707666973,3.429711499,7.220445261,1.444089052
16,1.624600184,2.707666973,3.429711499,7.220445261,1.444089052
17,1.524844032,2.54140672,3.219115179,6.777084587,1.355416917
18,1.439338759,2.398897932,3.038604047,6.397061152,1.27941223
19,1.439338759,2.398897932,3.038604047,6.397061152,1.27941223
20,1.439338759,2.398897932,3.038604047,6.397061152,1.27941223
21,1.52271509,2.537858483,3.214620745,6.767622621,1.353524524
22,1.583020638,2.63836773,3.341932458,7.03564728,1.407129456
23,1.67347896,2.7891316,3.532900027,7.437684267,1.487536853
24,1.718708121,2.864513535,3.628383811,7.638702761,1.527740552
25,1.688555347,2.814258912,3.564727955,7.504690432,1.500938086
26,1.52271509,2.537858483,3.214620745,6.767622621,1.353524524
27,1.367781155,2.279635258,2.887537994,6.079027356,1.215805471
28,1.427903404,2.379839006,3.014462741,6.346237349,1.26924747
29,1.518086776,2.530144627,3.204849861,6.74705234,1.349410468
30,1.578209025,3.507131167,3.331774608,6.137479542,1.402852467
31,1.578209025,3.507131167,3.331774608,6.137479542,1.402852467
32,1.518086776,3.37352617,3.204849861,5.903670797,1.349410468
33,1.427903404,3.173118675,3.014462741,5.552957681,1.26924747
34,1.285411836,2.856470746,2.713647209,4.998823806,1.142588299
35,1.285411836,2.856470746,2.713647209,4.998823806,1.142588299
36,1.361024297,3.024498437,2.873273515,5.292872265,1.209799375
37,1.361024297,3.024498437,2.873273515,5.292872265,1.209799375
38,1.497126726,3.326948281,3.160600867,5.822159492,1.330779312
39,1.58786168,3.52858151,3.352152435,6.175017643,1.411432604
40,1.602879879,3.561955286,3.383857522,6.233421751,1.424782114
41,1.619931792,3.599848427,3.419856006,6.299734748,1.439939371
42,1.619931792,3.599848427,3.419856006,6.299734748,1.439939371
43,1.46646457,3.258810155,3.095869648,5.702917772,1.303524062
44,1.432360743,3.183023873,3.023872679,5.570291777,1.273209549
45,1.397115895,3.104701989,2.94946689,5.433228482,1.241880796
46,1.470648311,3.268107357,3.104701989,5.719187875,1.307242943
47,1.499583449,3.332407665,3.165787281,5.831713413,1.332963066
48,1.570992185,3.491093744,3.316539057,6.109414052,1.396437498
49,1.570992185,3.491093744,3.316539057,6.109414052,1.396437498
50,1.570992185,3.491093744,3.316539057,6.109414052,1.396437498
51,1.517435633,2.866267307,3.203475225,6.40695045,1.348831674
52,1.58141351,2.987114408,3.338539633,6.677079266,1.405700898
53,1.732024321,3.271601495,3.656495788,7.312991577,1.539577174
54,1.732024321,3.271601495,3.656495788,7.312991577,1.539577174
55,1.732024321,3.271601495,3.656495788,7.312991577,1.539577174
56,1.506108105,2.844870865,3.179561555,6.35912311,1.33876276
57,1.506108105,2.844870865,3.179561555,6.35912311,1.33876276
58,1.506108105,2.844870865,3.179561555,6.35912311,1.33876276
59,1.506108105,2.844870865,3.179561555,6.35912311,1.33876276
60,1.474542458,2.949084916,3.296036083,6.592072166,1.387804666
61,1.474542458,2.949084916,3.296036083,6.592072166,1.387804666
62,1.474542458,2.949084916,3.296036083,6.592072166,1.387804666
63,1.474542458,2.949084916,3.296036083,6.592072166,1.387804666
64,1.474542458,2.949084916,3.296036083,6.592072166,1.387804666
65,1.474542458,2.949084916,3.296036083,6.592072166,1.387804666
66,0.548354935,0,0,1.794616152,0
67,0.548354935,0,0,1.794616152,0
68,0.448654038,0,0,1.794616152,0
69,0.448654038,0,0,1.794616152,0
70,0.498504487,0,0.478564307,1.894317049,0
71,0.498504487,0,0.697906281,1.894317049,0
72,0.598205384,0,1.196410768,1.994017946,0
73,1.196410768,0,3.389830508,4.985044865,0
74,0.3,0,0.847457627,1.246261216,0
75,0.6,0,1.994017946,2.492522433,0
76,0.85,0,3.35,3.35,0
77,0.65,0,3,2.7,0
78,0.651769088,0,3.103662322,2.731222843,0
79,0.651769088,0,3.227808814,2.793296089,0
80,0.651769088,0,3.507138423,2.917442582,0
81,0.651769088,0,3.507138423,3.010552452,0
82,0.651769088,0,3.507138423,3.010552452,0
83,0.651769088,0,3.507138423,3.196772191,0
84,0.651769088,0,3.507138423,3.289882061,0
85,0.651769088,0,3.507138423,3.38299193,0
86,0.713842334,0,2.942271881,4.053382992,0
87,1.672941176,1.602002503,1.802252816,3.904881101,0.801001252
88,1.672941176,1.602002503,1.802252816,3.904881101,0.801001252
89,1.6,1.642052566,1.847309136,4.002503129,0.821026283
90,1.6,1.602002503,1.802252816,3.904881101,0.801001252
91,1.435294118,1.602002503,1.802252816,3.904881101,0.801001252
92,1.505882353,1.642052566,1.847309136,4.002503129,0.821026283
93,1.494117647,1.722152691,1.937421777,4.197747184,0.861076345
94,1.505882353,1.762202753,1.982478098,4.295369212,0.881101377
95,1.482352941,1.762202753,1.982478098,4.295369212,0.881101377
96,1.452245414,1.659709045,1.55597723,4.097406705,0.88172043
97,1.381404175,1.578747628,1.480075901,3.897533207,0.838709677
98,1.487666034,1.700189753,1.593927894,4.197343454,0.903225806
99,1.550090493,1.771531992,1.660811242,4.373469605,0.941126371
100,2.027041414,2.316618759,2.171830086,5.71915256,1.230703716
101,2.027041414,2.316618759,2.171830086,5.71915256,1.230703716
102,2.027041414,2.316618759,2.171830086,5.71915256,1.230703716
103,1.788565953,2.044075375,1.916320664,5.046311083,1.085915043
104,1.639518791,1.873735761,1.756627276,4.625785159,0.995422123
105,1.639518791,1.873735761,1.756627276,4.625785159,0.995422123
106,1.490471628,1.703396146,1.596933887,4.205259236,0.904929203
107,1.639518791,1.873735761,1.756627276,4.625785159,0.995422123
108,1.639518791,1.873735761,1.756627276,4.625785159,0.995422123
109,1.490471628,1.703396146,1.596933887,4.205259236,0.904929203
110,1.728947088,1.975939529,1.852443309,4.878100713,1.049717875
111,1.490471628,1.703396146,1.596933887,4.205259236,0.904929203
112,1.490471628,1.703396146,1.596933887,4.205259236,0.904929203
113,1.639518791,1.873735761,1.756627276,4.625785159,0.995422123
114,1.788565953,2.044075375,1.916320664,5.046311083,1.085915043
115,1.788565953,2.044075375,1.916320664,5.046311083,1.085915043
116,1.937613116,2.21441499,2.076014053,5.466837006,1.176407963
117,2.086660279,2.384754604,2.235707442,5.88736293,1.266900884
118,2.086660279,2.384754604,2.235707442,5.88736293,1.266900884
119,2.086660279,2.384754604,2.235707442,5.88736293,1.266900884
120,2.086660279,2.384754604,2.235707442,5.88736293,1.266900884
121,1.788565953,2.044075375,1.916320664,5.046311083,1.085915043
122,1.937613116,2.21441499,2.076014053,5.466837006,1.176407963
123,2.086660279,2.384754604,2.235707442,5.88736293,1.266900884
124,2.146279144,2.45289045,2.299584797,6.055573299,1.303098052
125,2.086660279,2.384754604,2.235707442,5.88736293,1.266900884
126,2.176088577,2.486958373,2.331523475,6.139678484,1.321196636
127,2.176088577,2.486958373,2.331523475,6.139678484,1.321196636
128,2.027041414,2.316618759,2.171830086,5.71915256,1.230703716
129,1.490471628,1.703396146,1.596933887,4.205259236,0.904929203
130,1.490471628,1.703396146,1.596933887,4.205259236,0.904929203
131,1.490471628,1.703396146,1.596933887,4.205259236,0.904929203
132,1.490471628,1.703396146,1.596933887,4.205259236,0.904929203
133,2.086660279,2.384754604,2.235707442,5.88736293,1.266900884
134,2.086660279,2.384754604,2.235707442,5.88736293,1.266900884
135,2.146279144,2.45289045,2.299584797,6.055573299,1.303098052
136,2.086660279,2.384754604,2.235707442,5.88736293,1.266900884
137,1.937613116,2.21441499,2.076014053,5.466837006,1.176407963
138,1.937613116,2.21441499,2.076014053,5.466837006,1.176407963
139,1.937613116,2.21441499,2.076014053,5.466837006,1.176407963
140,1.937613116,2.21441499,2.076014053,5.466837006,1.176407963
141,2.027041414,2.316618759,2.171830086,5.71915256,1.230703716
142,1.937613116,2.21441499,2.076014053,5.466837006,1.176407963
143,1.877994251,2.146279144,2.012136698,5.298626637,1.140210795
144,1.877994251,2.146279144,2.012136698,5.298626637,1.140210795
145,1.937613116,2.21441499,2.076014053,5.466837006,1.176407963
146,2.325135739,2.657297988,2.491216864,6.560204408,1.411689556
147,2.533801767,2.895773448,2.714787608,7.148940701,1.538379644
148,1.792114695,2.04813108,1.920122888,5.056323605,1.088069636
149,2.031063321,2.321215224,2.176139273,5.730500085,1.233145588
150,1.792114695,2.04813108,1.920122888,5.056323605,1.088069636
151,1.642771804,1.87745349,1.760112647,4.634963304,0.997397167
152,1.792114695,2.04813108,1.920122888,5.056323605,1.088069636
153,1.851851852,2.116402116,1.984126984,5.224867725,1.124338624
154,2.090800478,2.38948626,2.240143369,5.899044205,1.269414576
155,2.240143369,2.56016385,2.40015361,6.320404506,1.360087046
156,2.299880526,2.628434886,2.464157706,6.488948626,1.396356033
157,2.299880526,2.628434886,2.464157706,6.488948626,1.396356033
158,1.792114695,2.04813108,1.920122888,5.056323605,1.088069636
159,1.553166069,1.775046936,1.664106503,4.382147124,0.942993685
160,2.031063321,2.321215224,2.176139273,5.730500085,1.233145588
161,2.210274791,2.526028332,2.368151562,6.236132446,1.341952552
162,2.210274791,2.526028332,2.368151562,6.236132446,1.341952552
163,2.210274791,2.526028332,2.368151562,6.236132446,1.341952552
164,2.023355301,2.312406059,2.16788068,5.708752457,1.228465719
165,1.6793849,1.919297029,1.799340964,4.738264539,1.019626546
166,1.719852006,1.96554515,1.842698578,4.852439588,1.044195861
167,1.760319112,2.011793271,1.886056191,4.966614638,1.068765175
168,1.922187536,2.196785756,2.059486646,5.423314834,1.167042433
169,1.982888195,2.266157937,2.124523066,5.594577408,1.203896404
170,2.124523066,2.428026361,2.276274714,5.99419008,1.289889005
171,2.225690831,2.543646664,2.384668748,6.279627703,1.35131229
172,2.225690831,2.543646664,2.384668748,6.279627703,1.35131229
173,2.234701725,2.553944829,2.394323277,6.305051297,1.35678319
174,2.133124374,2.437856428,2.285490401,6.018458056,1.295111227
175,2.133124374,2.437856428,2.285490401,6.018458056,1.295111227
176,1.320505565,1.509149217,1.414827391,3.72571213,0.801735522
177,1.625237618,1.857414421,1.74132602,4.585491852,0.986751411
