DAY,SAMAN,ARPA,SLAJ,YEM,SU
1,0.55,0,0,1.79,0
2,0.55,0,0,1.79,0
3,0.45,0,0,1.79,0
4,0.45,0,0,1.79,0
5,0.5,0,0.48,1.89,0
6,0.5,0,0.7,1.89,0
7,0.6,0,1.2,1.99,0
8,1.2,0,3.39,4.99,0
9,0.3,0,0.85,1.25,0
10,0.6,0,1.99,2.49,0
11,0.85,0,3.35,3.35,0
12,0.65,0,3,2.7,0
13,0.65,0,3.1,2.73,0
14,0.65,0,3.23,2.79,0
15,0.65,0,3.51,2.92,0
16,0.65,0,3.51,3.01,0
17,0.65,0,3.51,3.01,0
18,0.65,0,3.51,3.2,0
19,0.65,0,3.51,3.29,0
20,0.65,0,3.51,3.38,0
21,0.71,0,2.94,4.05,0
22,1.67,1.6,1.8,3.9,0.8
23,1.67,1.6,1.8,3.9,0.8
24,1.6,1.64,1.85,4,0.82
25,1.6,1.6,1.8,3.9,0.8
26,1.44,1.6,1.8,3.9,0.8
27,1.51,1.64,1.85,4,0.82
28,1.49,1.72,1.94,4.2,0.86
29,1.51,1.76,1.98,4.3,0.88
30,1.48,1.76,1.98,4.3,0.88
31,1.45,1.66,1.56,4.1,0.88
32,1.38,1.58,1.48,3.9,0.84
33,1.49,1.7,1.59,4.2,0.9
34,1.55,1.77,1.66,4.37,0.94
35,2.03,2.32,2.17,5.72,1.23
36,2.03,2.32,2.17,5.72,1.23
37,2.03,2.32,2.17,5.72,1.23
38,1.79,2.04,1.92,5.05,1.09
39,1.64,1.87,1.76,4.63,1
40,1.64,1.87,1.76,4.63,1
41,1.49,1.7,1.6,4.21,0.9
42,1.64,1.87,1.76,4.63,1
43,1.64,1.87,1.76,4.63,1
44,1.49,1.7,1.6,4.21,0.9
45,1.73,1.98,1.85,4.88,1.05
46,1.49,1.7,1.6,4.21,0.9
47,1.49,1.7,1.6,4.21,0.9
48,1.64,1.87,1.76,4.63,1
49,1.79,2.04,1.92,5.05,1.09
50,1.79,2.04,1.92,5.05,1.09
51,1.94,2.21,2.08,5.47,1.18
52,2.09,2.38,2.24,5.89,1.27
53,2.09,2.38,2.24,5.89,1.27
54,2.09,2.38,2.24,5.89,1.27
55,2.09,2.38,2.24,5.89,1.27
56,1.79,2.04,1.92,5.05,1.09
57,1.94,2.21,2.08,5.47,1.18
58,2.09,2.38,2.24,5.89,1.27
59,2.15,2.45,2.3,6.06,1.3
60,2.09,2.38,2.24,5.89,1.27
61,2.18,2.49,2.33,6.14,1.32
62,2.18,2.49,2.33,6.14,1.32
63,2.03,2.32,2.17,5.72,1.23
64,1.49,1.7,1.6,4.21,0.9
65,1.49,1.7,1.6,4.21,0.9
66,1.49,1.7,1.6,4.21,0.9
67,1.49,1.7,1.6,4.21,0.9
68,2.09,2.38,2.24,5.89,1.27
69,2.09,2.38,2.24,5.89,1.27
70,2.15,2.45,2.3,6.06,1.3
71,2.09,2.38,2.24,5.89,1.27
72,1.94,2.21,2.08,5.47,1.18
73,1.94,2.21,2.08,5.47,1.18
74,1.94,2.21,2.08,5.47,1.18
75,1.94,2.21,2.08,5.47,1.18
76,2.03,2.32,2.17,5.72,1.23
77,1.94,2.21,2.08,5.47,1.18
78,1.88,2.15,2.01,5.3,1.14
79,1.88,2.15,2.01,5.3,1.14
80,1.94,2.21,2.08,5.47,1.18
81,2.33,2.66,2.49,6.56,1.41
82,2.53,2.9,2.71,7.15,1.54
83,1.79,2.05,1.92,5.06,1.09
84,2.03,2.32,2.18,5.73,1.23
85,1.79,2.05,1.92,5.06,1.09
86,1.64,1.88,1.76,4.63,1
87,1.79,2.05,1.92,5.06,1.09
88,1.85,2.12,1.98,5.22,1.12
89,2.09,2.39,2.24,5.9,1.27
90,2.24,2.56,2.4,6.32,1.36
91,2.3,2.63,2.46,6.49,1.4
92,2.3,2.63,2.46,6.49,1.4
93,1.79,2.05,1.92,5.06,1.09
94,1.55,1.78,1.66,4.38,0.94
95,2.03,2.32,2.18,5.73,1.23
96,2.21,2.53,2.37,6.24,1.34
97,2.21,2.53,2.37,6.24,1.34
98,2.21,2.53,2.37,6.24,1.34
99,2.02,2.31,2.17,5.71,1.23
100,1.68,1.92,1.8,4.74,1.02
101,1.72,1.97,1.84,4.85,1.04
102,1.76,2.01,1.89,4.97,1.07
103,1.92,2.2,2.06,5.42,1.17
104,1.98,2.27,2.12,5.59,1.2
105,2.12,2.43,2.28,5.99,1.29
106,2.23,2.54,2.38,6.28,1.35
107,2.23,2.54,2.38,6.28,1.35
108,2.23,2.55,2.39,6.31,1.36
109,2.13,2.44,2.29,6.02,1.3
110,2.13,2.44,2.29,6.02,1.3
111,1.32,1.51,1.41,3.73,0.8
112,1.63,1.86,1.74,4.59,0.99
113,1.63,1.86,1.74,4.59,0.99
114,1.67,1.9,1.78,4.7,1.01
115,1.75,2,1.87,4.93,1.06
116,1.87,2.14,2,5.27,1.13
117,1.99,2.28,2.13,5.62,1.21
118,2.19,2.51,2.35,6.19,1.33
119,2.34,2.67,2.5,6.59,1.42
120,2.5,2.86,2.68,7.05,1.52
121,2.23,2.55,2.39,6.31,1.36
122,2.03,2.32,2.18,5.73,1.23
123,1.83,2.09,1.96,5.16,1.11
124,1.63,1.86,1.74,4.59,0.99
125,1.63,1.86,1.74,4.59,0.99
126,1.75,2,1.87,4.93,1.06
127,1.83,2.09,1.96,5.17,1.11
128,1.87,2.14,2.01,5.28,1.14
129,2.03,2.32,2.18,5.74,1.24
130,2.24,2.56,2.4,6.31,1.36
131,2.34,2.67,2.84,6.35,1.34
132,2.46,2.81,2.99,6.68,1.41
133,2.46,2.81,2.99,6.68,1.41
134,2.24,2.56,2.72,6.07,1.28
135,2.04,2.33,2.47,5.53,1.16
136,1.83,2.1,2.23,4.98,1.05
137,1.53,1.75,1.86,4.15,0.87
138,1.63,1.86,1.98,4.42,0.93
139,1.73,1.98,2.11,4.71,0.99
140,1.8,2.05,2.18,4.87,1.03
141,1.84,2.1,2.23,4.98,1.05
142,1.8,2.05,2.18,4.87,1.03
143,1.92,2.19,2.33,5.2,1.1
144,2,2.28,2.43,5.43,1.14
145,2.04,2.33,2.48,5.54,1.17
146,2.28,2.61,2.77,6.2,1.31
147,2.3,2.63,2.8,6.26,1.32
148,2.3,2.63,2.8,6.26,1.32
149,2.24,2.56,2.72,6.09,1.28
150,0.82,0.93,0.99,2.21,0.47
151,2.24,2.56,2.72,6.09,1.28
152,2.24,2.56,2.72,6.09,1.28
153,2.14,2.45,2.6,5.81,1.22
154,2.04,2.33,2.48,5.54,1.17
155,1.94,2.21,2.35,5.26,1.11
156,1.84,2.1,2.23,4.98,1.05
157,1.88,2.14,2.28,5.09,1.07
158,1.84,2.1,2.23,4.98,1.05
159,1.94,2.21,2.35,5.26,1.11
160,1.82,2.24,2.38,5.32,1.12
161,1.88,2.31,2.45,5.48,1.15
162,1.91,2.36,2.5,5.6,1.18
163,1.91,2.36,2.5,5.6,1.18
164,2.07,2.55,2.7,6.04,1.27
165,1.99,2.45,2.6,5.82,1.23
166,1.91,2.36,2.5,5.6,1.18
167,1.99,2.45,2.6,5.82,1.23
168,1.8,2.22,2.35,5.26,1.11
169,1.61,2.14,2.28,5.09,1.07
170,1.61,2.14,2.28,5.09,1.07
171,1.61,2.14,2.28,5.09,1.07
172,1.79,2.38,2.53,5.66,1.19
173,1.79,2.38,2.53,5.66,1.19
174,1.79,2.38,2.53,5.66,1.19
175,1.75,2.33,2.48,5.55,1.17
176,1.72,2.29,2.43,5.43,1.14
177,1.61,2.14,2.28,5.09,1.07
178,1.61,2.14,2.28,5.09,1.07
179,1.7,2.26,2.4,5.38,1.13
180,1.7,2.26,2.4,5.38,1.13
181,1.75,2.33,2.48,5.55,1.17
182,1.72,2.51,2.66,5.95,1.25
183,1.82,2.65,2.82,6.29,1.32
184,1.82,2.65,2.82,6.29,1.32
185,1.82,2.65,2.82,6.29,1.32
186,1.66,2.41,2.56,5.73,1.21
187,1.58,2.29,2.43,5.44,1.15
188,1.66,2.41,2.56,5.73,1.21
189,1.66,2.41,2.56,5.73,1.21
190,0.83,1.21,1.28,2.86,0.6
191,1.83,2.66,2.83,6.33,1.33
192,2,2.91,3.09,6.9,1.45
193,1.91,2.79,2.96,6.62,1.39
194,1.67,2.42,2.57,5.75,1.21
195,1.75,2.54,2.7,6.04,1.27
196,1.83,2.66,2.83,6.33,1.33
197,1.58,2.3,2.44,5.46,1.15
198,1.67,2.42,2.57,5.75,1.21
199,1.58,2.3,2.44,5.46,1.15
